name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	12	10	0.0
Cellulomonas gilvus	11	species	3526441	1	0	0.0
Myxococcales	29	order	9638245	7	0	0.0
Myxococcaceae	31	family	9636120	1	0	0.0
Myxococcus xanthus	34	species	9139763	4	1	0.0
Myxococcus macrosporus	35	species	8973512	3	1	0.0
Archangiaceae	39	family	10085598	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Archangium gephyra	48	species	12489432	4	4	0.0
Polyangiaceae	49	family	13907952	2	0	0.0
Chondromyces	50	genus	0	1	0	0.0
Chondromyces crocatus	52	species	11388132	3	1	0.0
Sorangium cellulosum	56	species	13907952	5	2	0.0
Vitreoscilla filiformis	63	species	3787551	2	0	0.0
Lysobacter enzymogenes	69	species	12227539	5	1	0.0
Caulobacter	75	genus	4238499	1	0	0.0
Hyphomicrobium	81	genus	3700497	1	0	0.0
Leptothrix	88	genus	4909403	2	0	0.0
Stella humosa	94	species	5832650	2	1	0.0
Spirosoma	107	genus	0	1	0	0.0
Planctomycetales	112	order	5733343	3	0	0.0
Gemmata obscuriglobus	114	species	17998094	1	0	0.0
Gimesia maris	122	species	15634937	1	1	0.0
Spirochaetales	136	order	1876294	1	0	0.0
Spirochaetaceae	137	family	2749897	2	0	0.0
Spirochaeta thermophila	154	species	2516433	1	0	0.0
Treponema	157	genus	2490077	2	1	0.0
Treponema pallidum	160	species	1139017	1	0	0.0
Treponema phagedenis	162	species	17151030	3	0	0.0
Azospirillum	191	genus	7223069	1	0	0.0
Azospirillum brasilense	192	species	50779208	7	1	0.0
Campylobacter	194	genus	2403822	3	2	0.0
Campylobacter concisus	199	species	2099413	3	2	0.0
Campylobacter curvus	200	species	1971270	1	0	0.0
Campylobacter showae	204	species	2160580	16	14	0.0
Campylobacter sputorum	206	species	1746988	1	0	0.0
Helicobacter mustelae	217	species	1578097	1	0	0.0
Achromobacter	222	genus	7359146	1	0	0.0
Elizabethkingia meningoseptica	238	species	15625789	2	2	0.0
Empedobacter brevis	247	species	7431270	3	0	0.0
Chryseobacterium indologenes	253	species	35240523	2	0	0.0
Paracoccus denitrificans	266	species	5236194	4	0	0.0
Thermus aquaticus	271	species	2338641	1	0	0.0
Thermus thermophilus	274	species	2214494	5	0	0.0
Xanthobacter	279	genus	5625098	1	0	0.0
Xanthobacter autotrophicus	280	species	5625098	1	0	0.0
Comamonas testosteroni	285	species	5856025	2	1	0.0
Pseudomonas	286	genus	9017316	8	1	0.0
Pseudomonas aeruginosa	287	species	6798896	9	2	0.0
Burkholderia cepacia	292	species	13565292	2	0	0.0
Pseudomonas fluorescens	294	species	6604895	4	0	0.0
Pseudomonas fragi	296	species	10253943	1	1	0.0
Pseudomonas mendocina	300	species	5293211	3	1	0.0
Pseudomonas oleovorans	301	species	4686340	2	0	0.0
Pseudomonas putida	303	species	6160317	9	2	0.0
Ralstonia solanacearum	305	species	5757294	4	0	0.0
Pseudomonas syringae	317	species	8747300	3	0	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	1	0	0.0
Ralstonia pickettii	329	species	5505543	1	0	0.0
