name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	25	20	0.0
Cellulomonas gilvus	11	species	3526441	1	0	0.0
Pelobacter	18	genus	3953506	1	0	0.0
Shewanella	22	genus	5140018	2	1	0.0
Myxococcales	29	order	9638245	17	0	0.0
Myxococcaceae	31	family	9636120	3	0	0.0
Myxococcus	32	genus	9487953	3	0	0.0
Myxococcus xanthus	34	species	9139763	1	0	0.0
Myxococcus macrosporus	35	species	8973512	3	0	0.0
Archangiaceae	39	family	10085598	5	0	0.0
Stigmatella	40	genus	10260756	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Cystobacter fuscus	43	species	12349744	10	6	0.0
Melittangium	44	genus	9910441	1	0	0.0
Archangium gephyra	48	species	12489432	7	3	0.0
Polyangiaceae	49	family	13907952	1	0	0.0
Chondromyces crocatus	52	species	11388132	4	3	0.0
Sorangium cellulosum	56	species	13907952	18	8	0.0
Vitreoscilla filiformis	63	species	3787551	3	3	0.0
Lysobacter	68	genus	0	4	0	0.0
Lysobacter enzymogenes	69	species	12227539	8	6	0.0
Caulobacter	75	genus	4238499	4	0	0.0
Leptothrix	88	genus	4909403	1	0	0.0
Stella	93	genus	0	1	0	0.0
Stella humosa	94	species	5832650	3	0	0.0
Planctomycetales	112	order	5733343	3	0	0.0
Gemmata obscuriglobus	114	species	17998094	9	5	0.0
Gimesia maris	122	species	15634937	1	1	0.0
Pirellula staleyi	125	species	6196199	1	0	0.0
Spirochaetales	136	order	1876294	6	0	0.0
Spirochaetaceae	137	family	2749897	3	0	0.0
Borrelia	138	genus	1176628	1	0	0.0
Spirochaeta	146	genus	2772907	1	0	0.0
Treponema	157	genus	2490077	4	0	0.0
Treponema pallidum	160	species	1139017	1	0	0.0
Treponema phagedenis	162	species	17151030	17	0	0.0
Azospirillum	191	genus	7223069	3	0	0.0
Azospirillum brasilense	192	species	50779208	23	3	0.0
Azospirillum lipoferum	193	species	7223069	1	0	0.0
Campylobacter	194	genus	2403822	4	0	0.0
Campylobacter concisus	199	species	2099413	7	1	0.0
Campylobacter curvus	200	species	1971270	1	0	0.0
Campylobacter showae	204	species	2160580	75	69	0.0
Campylobacter sputorum	206	species	1746988	1	1	0.0
Helicobacter pylori	210	species	1700965	2	0	0.0
Helicobacter mustelae	217	species	1578097	1	0	0.0
Achromobacter	222	genus	7359146	5	0	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	1	0	0.0
Brucella	234	genus	4039663	1	0	0.0
Empedobacter brevis	247	species	7431270	2	0	0.0
Chryseobacterium gleum	250	species	9292597	1	0	0.0
Chryseobacterium indologenes	253	species	35240523	3	0	0.0
Sphingobacterium thalpophilum	259	species	5962893	1	0	0.0
Paracoccus denitrificans	266	species	5236194	2	0	0.0
Thermus	270	genus	2279019	4	0	0.0
Thermus aquaticus	271	species	2338641	1	0	0.0
Thermus thermophilus	274	species	2214494	6	1	0.0
Comamonas	283	genus	5461687	2	0	0.0
Comamonas testosteroni	285	species	5856025	2	2	0.0
Pseudomonas	286	genus	9017316	27	4	0.0
Pseudomonas aeruginosa	287	species	6798896	24	3	0.0
Burkholderia cepacia	292	species	13565292	10	2	0.0
Brevundimonas diminuta	293	species	3551819	4	1	0.0
Pseudomonas fluorescens	294	species	6604895	13	4	0.0
Pseudomonas fragi	296	species	10253943	1	0	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	2	1	0.0
Pseudomonas mendocina	300	species	5293211	1	0	0.0
Pseudomonas oleovorans	301	species	4686340	4	0	0.0
Pseudomonas putida	303	species	6160317	14	6	0.0
Ralstonia solanacearum	305	species	5757294	19	5	0.0
Pseudomonas stutzeri	316	species	4548207	17	5	0.0
Pseudomonas syringae	317	species	8747300	5	0	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	1	1	0.0
Pseudomonas syringae pv. tomato	323	leaf	12920481	1	1	0.0
Ralstonia pickettii	329	species	5505543	1	0	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	1	0	0.0
Burkholderia glumae	337	species	6878727	3	0	0.0
Xanthomonas	338	genus	23419814	3	0	0.0
Xanthomonas campestris	339	species	7099366	2	2	0.0
Xanthomonas translucens	343	species	11701367	1	0	0.0
Xanthomonas citri	346	species	27676482	6	0	0.0
Xanthomonas oryzae	347	species	63225372	5	1	0.0
Azotobacter chroococcum	353	species	5192286	2	0	0.0
Azotobacter vinelandii	354	species	5351632	1	0	0.0
Rhizobiales	356	order	5410296	47	0	0.0
Agrobacterium tumefaciens	358	species	7273300	6	1	0.0
Agrobacterium rhizogenes	359	species	5482241	2	0	0.0
Bradyrhizobium	374	genus	11894480	4	0	0.0
Bradyrhizobium japonicum	375	species	9207384	2	1	0.0
Bradyrhizobium sp.	376	species	7547693	2	1	0.0
Rhizobium	379	genus	8184003	4	1	0.0
Sinorhizobium fredii	380	species	6924988	1	0	0.0
