name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	19	12	0.0
Cellvibrio	10	genus	4576573	1	0	0.0
Cellulomonas gilvus	11	species	3526441	2	0	0.0
Shewanella	22	genus	5140018	2	0	0.0
Shewanella putrefaciens	24	species	4749735	3	0	0.0
Myxococcales	29	order	9638245	35	0	0.0
Myxococcus	32	genus	9487953	4	0	0.0
Myxococcus xanthus	34	species	9139763	17	4	0.0
Myxococcus macrosporus	35	species	8973512	8	1	0.0
Archangiaceae	39	family	10085598	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	2	0	0.0
Cystobacter fuscus	43	species	12349744	7	2	0.0
Archangium gephyra	48	species	12489432	8	5	0.0
Chondromyces crocatus	52	species	11388132	3	2	0.0
Sorangium cellulosum	56	species	13907952	25	10	0.0
Vitreoscilla	59	genus	0	8	0	0.0
Vitreoscilla filiformis	63	species	3787551	14	9	0.0
Lysobacter	68	genus	0	5	0	0.0
Lysobacter enzymogenes	69	species	12227539	14	8	0.0
Simonsiella muelleri	72	species	2469862	1	0	0.0
Caulobacter	75	genus	4238499	1	0	0.0
Hyphomicrobium	81	genus	3700497	1	0	0.0
Leptothrix	88	genus	4909403	10	0	0.0
Stella	93	genus	0	2	0	0.0
Stella humosa	94	species	5832650	8	6	0.0
Gallionella	96	genus	3162471	1	0	0.0
Ancylobacter	99	genus	0	1	0	0.0
Planctomycetales	112	order	5733343	4	0	0.0
Gemmata obscuriglobus	114	species	17998094	10	5	0.0
Planctomyces	118	genus	0	1	0	0.0
Gimesia maris	122	species	15634937	1	0	0.0
Planctomycetaceae	126	family	5733343	1	0	0.0
Methylocystis	133	genus	0	1	0	0.0
Methylocystis parvus	134	species	4529043	4	2	0.0
Spirochaetales	136	order	1876294	3	0	0.0
Spirochaetaceae	137	family	2749897	9	0	0.0
Treponema	157	genus	2490077	6	0	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	0	0.0
Treponema phagedenis	162	species	17151030	20	0	0.0
Leptospiraceae	170	family	5274184	1	0	0.0
