name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	8	7	0.0
Azorhizobium caulinodans	7	species	5369772	2	0	0.0
Cellulomonas gilvus	11	species	3526441	1	0	0.0
Shewanella	22	genus	5140018	2	0	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Myxococcales	29	order	9638245	9	0	0.0
Myxococcus	32	genus	9487953	1	0	0.0
Myxococcus xanthus	34	species	9139763	1	0	0.0
Myxococcus macrosporus	35	species	8973512	2	0	0.0
Archangiaceae	39	family	10085598	2	0	0.0
Stigmatella	40	genus	10260756	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Cystobacter fuscus	43	species	12349744	4	2	0.0
Chondromyces crocatus	52	species	11388132	1	0	0.0
Sorangium cellulosum	56	species	13907952	12	3	0.0
Vitreoscilla	59	genus	0	2	0	0.0
Vitreoscilla filiformis	63	species	3787551	1	0	0.0
Caulobacter	75	genus	4238499	2	0	0.0
Leptothrix	88	genus	4909403	1	0	0.0
Planctomycetales	112	order	5733343	1	0	0.0
Gemmata obscuriglobus	114	species	17998094	7	3	0.0
Spirochaetales	136	order	1876294	4	0	0.0
Spirochaetaceae	137	family	2749897	2	0	0.0
Treponema	157	genus	2490077	2	2	0.0
Treponema phagedenis	162	species	17151030	7	0	0.0
Azospirillum	191	genus	7223069	3	0	0.0
Azospirillum brasilense	192	species	50779208	15	2	0.0
Azospirillum lipoferum	193	species	7223069	2	0	0.0
Campylobacter concisus	199	species	2099413	1	1	0.0
Campylobacter curvus	200	species	1971270	3	0	0.0
Campylobacter showae	204	species	2160580	22	21	0.0
Helicobacter	209	genus	1715890	1	0	0.0
Helicobacter pylori	210	species	1700965	2	0	0.0
Chryseobacterium gleum	250	species	9292597	1	0	0.0
Sphingobacterium thalpophilum	259	species	5962893	1	0	0.0
Francisella tularensis	263	species	3018743	1	0	0.0
Paracoccus	265	genus	5054656	3	0	0.0
Thermus	270	genus	2279019	2	0	0.0
Thermus thermophilus	274	species	2214494	2	1	0.0
Meiothermus ruber	277	species	3097457	1	0	0.0
Comamonas	283	genus	5461687	3	0	0.0
Pseudomonas	286	genus	9017316	13	1	0.0
Pseudomonas aeruginosa	287	species	6798896	9	0	0.0
Burkholderia cepacia	292	species	13565292	9	1	0.0
Brevundimonas diminuta	293	species	3551819	1	1	0.0
Pseudomonas fluorescens	294	species	6604895	9	5	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	2	2	0.0
Pseudomonas mendocina	300	species	5293211	4	1	0.0
Pseudomonas oleovorans	301	species	4686340	2	0	0.0
Pseudomonas putida	303	species	6160317	11	2	0.0
Ralstonia solanacearum	305	species	5757294	13	6	0.0
Pseudomonas stutzeri	316	species	4548207	5	1	0.0
Pseudomonas syringae	317	species	8747300	1	0	0.0
Ralstonia pickettii	329	species	5505543	2	0	0.0
Burkholderia glumae	337	species	6878727	2	0	0.0
Xanthomonas translucens	343	species	11701367	1	0	0.0
Xanthomonas citri	346	species	27676482	2	0	0.0
Xanthomonas oryzae	347	species	63225372	3	2	0.0
Azotobacter	352	genus	5311796	1	0	0.0
Azotobacter vinelandii	354	species	5351632	1	0	0.0
Rhizobiales	356	order	5410296	35	0	0.0
Agrobacterium tumefaciens	358	species	7273300	6	1	0.0
Agrobacterium rhizogenes	359	species	5482241	1	0	0.0
Agrobacterium vitis	373	species	6320946	1	0	0.0
Bradyrhizobium	374	genus	11894480	3	0	0.0
Bradyrhizobium japonicum	375	species	9207384	2	1	0.0
Bradyrhizobium sp.	376	species	7547693	1	0	0.0
Rhizobium	379	genus	8184003	3	0	0.0
Sinorhizobium fredii	380	species	6924988	1	0	0.0
Sinorhizobium meliloti	382	species	7082772	2	1	0.0
Rhizobium leguminosarum	384	species	9364981	5	1	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	1	0	0.0
Rhizobium phaseoli	396	species	6665454	1	0	0.0
Methylobacterium	407	genus	7144985	3	0	0.0
Methylorubrum extorquens	408	species	8218505	1	0	0.0
Methylococcus	413	genus	3304561	1	0	0.0
Acetobacteraceae	433	family	3826783	1	0	0.0
Gluconobacter oxydans	442	species	4181963	1	0	0.0
Legionella hackeliae	449	species	3570857	1	1	0.0
Legionella longbeachae	450	species	4149158	1	0	0.0
Neisseriaceae	481	family	2244925	1	0	0.0
Neisseria	482	genus	2223758	1	0	0.0
Neisseria cinerea	483	species	1832904	1	0	0.0
Neisseria flavescens	484	species	2231882	8	2	0.0
Neisseria gonorrhoeae	485	species	2216159	3	0	0.0
Neisseria lactamica	486	species	2220606	8	0	0.0
Neisseria meningitidis	487	species	2222288	5	0	0.0
Neisseria mucosa	488	species	2783943	27	16	0.0
Neisseria polysaccharea	489	species	2024930	2	0	0.0
Neisseria canis	493	species	2569389	1	0	0.0
Neisseria elongata	495	species	2253031	30	4	0.0
Alcaligenaceae	506	family	4354306	2	0	0.0
Alcaligenes faecalis	511	species	32768163	1	0	0.0
Bordetella bronchiseptica	518	species	5231793	3	0	0.0
Bordetella avium	521	species	3732255	4	0	0.0
Chromobacterium violaceum	536	species	4751080	5	1	0.0
Eikenella corrodens	539	species	4651055	54	13	0.0
Enterobacteriaceae	543	family	10341043	1	0	0.0
Enterobacter	547	genus	11028548	1	0	0.0
Klebsiella aerogenes	548	species	5435727	1	0	0.0
Pantoea agglomerans	549	species	30133336	3	0	0.0
Enterobacter cloacae	550	species	5356576	1	0	0.0
Erwinia amylovora	552	species	3869718	1	0	0.0
Escherichia coli	562	species	8437634	4	1	0.0
Shimwellia blattae	563	species	4158725	1	0	0.0
Klebsiella oxytoca	571	species	6684898	1	0	0.0
Klebsiella pneumoniae	573	species	14826006	4	1	0.0
Raoultella terrigena	577	species	6073951	1	0	0.0
Morganella morganii	582	species	5836016	3	1	0.0
Providencia stuartii	588	species	4402109	1	0	0.0
Serratia	613	genus	5012487	1	0	0.0
Serratia marcescens	615	species	5201904	5	1	0.0
Shigella dysenteriae	622	species	4520554	1	0	0.0
Edwardsiella	635	genus	3906392	1	0	0.0
Edwardsiella tarda	636	species	3766483	6	0	0.0
Arsenophonus nasoniae	638	species	4987107	1	1	0.0
Aeromonas	642	genus	5822658	2	0	0.0
Aeromonas hydrophila	644	species	4976269	2	0	0.0
Aeromonas salmonicida	645	species	7807177	2	0	0.0
Aeromonas caviae	648	species	27968422	6	0	0.0
Aeromonas media	651	species	4788430	2	0	0.0
Aeromonas veronii	654	species	4551783	3	1	0.0
Vibrio	662	genus	5583206	1	0	0.0
Vibrio harveyi	669	species	35934227	1	1	0.0
Vibrio cincinnatiensis	675	species	15191860	3	0	0.0
Vibrio campbellii	680	species	8634154	1	0	0.0
Pasteurellaceae	712	family	2528486	3	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	2265772	3	0	0.0
Actinobacillus suis	716	species	2501598	1	0	0.0
Haemophilus haemolyticus	726	species	7646594	2	1	0.0
Haemophilus influenzae	727	species	2511163	3	0	0.0
Haemophilus parainfluenzae	729	species	2086875	2	1	0.0
[Haemophilus] ducreyi	730	species	1698955	1	0	0.0
Histophilus somni	731	species	2138367	1	1	0.0
Aggregatibacter aphrophilus	732	species	3481722	36	5	0.0
Glaesserella parasuis	738	species	2362471	1	1	0.0
Rodentibacter pneumotropicus	758	species	2439769	2	0	0.0
Avibacterium volantium	762	species	2230476	1	0	0.0
Bartonella bacilliformis	774	species	1445021	2	0	0.0
Bacteroides	816	genus	5275069	1	0	0.0
Bacteroides fragilis	817	species	5308603	5	0	0.0
Bacteroides thetaiotaomicron	818	species	6293399	3	0	0.0
Bacteroides vulgatus	821	species	5163189	1	0	0.0
Parabacteroides distasonis	823	species	10023638	5	0	0.0
Campylobacter gracilis	824	species	2281652	52	50	0.0
Porphyromonas	836	genus	2657841	1	0	0.0
Porphyromonas gingivalis	837	species	2736420	57	20	0.0
Prevotella	838	genus	3023914	1	0	0.0
Wolinella	843	genus	2110355	1	0	0.0
Oxalobacter formigenes	847	species	2433653	3	2	0.0
Fusobacterium	848	genus	3161642	2	1	0.0
Fusobacterium nucleatum	851	species	3161193	3	1	0.0
Faecalibacterium prausnitzii	853	species	3102523	5	2	0.0
Fusobacterium necrophorum	859	species	4694448	5	0	0.0
Desulfovibrio	872	genus	3919658	4	0	0.0
Desulfovibrio desulfuricans	876	species	3366008	3	0	0.0
Desulfovibrio vulgaris	881	species	3802302	1	0	0.0
Desulfovibrio vulgaris str. Hildenborough	882	leaf	3773159	3	0	0.0
Desulfovibrio vulgaris str. 'Miyazaki F'	883	leaf	4040304	3	1	0.0
Desulfobulbus	893	genus	0	2	0	0.0
Desulfococcus multivorans	897	species	8911375	4	0	0.0
Desulfomicrobium	898	genus	3363015	3	0	0.0
Desulfovibrio piger	901	species	2807531	2	0	0.0
Acidaminococcus	904	genus	2408767	1	0	0.0
Thiobacillus	919	genus	2909809	1	0	0.0
Thiomonas intermedia	926	species	3462095	2	1	0.0
Bdellovibrio bacteriovorus	959	species	3592845	1	0	0.0
Herbaspirillum	963	genus	5363540	1	0	0.0
Herbaspirillum seropedicae	964	species	5513887	1	0	0.0
Selenomonas	970	genus	3100147	3	0	0.0
Bacteroidetes	976	phylum	3686275	2	0	0.0
Capnocytophaga gingivalis	1017	species	2838633	1	1	0.0
Capnocytophaga sputigena	1019	species	11962418	27	3	0.0
Thermochromatium tepidum	1050	species	2958290	1	0	0.0
Halorhodospira halophila	1053	species	2678452	1	0	0.0
Rhodobacter sphaeroides	1063	species	4610091	8	4	0.0
Rhodopseudomonas palustris	1076	species	5494465	1	0	0.0
Blastochloris viridis	1079	species	11174693	2	1	0.0
Porphyrobacter neustonensis	1112	species	3090363	2	1	0.0
Cyanobacteria	1117	phylum	4896702	1	0	0.0
Synechococcus	1129	genus	2744871	1	0	0.0
Synechocystis sp. PCC 6803	1148	species	3570073	1	0	0.0
Proteobacteria	1224	phylum	6582363	41	0	0.0
Gammaproteobacteria	1236	class	8199621	30	0	0.0
Piscirickettsia salmonis	1238	species	3507509	1	1	0.0
Firmicutes	1239	phylum	3951907	4	0	0.0
Pediococcus acidilactici	1254	species	28786024	1	0	0.0
Micrococcaceae	1268	family	3809026	19	0	0.0
Micrococcus	1269	genus	4996790	2	0	0.0
Micrococcus luteus	1270	species	4996790	22	3	0.0
Dermacoccus nishinomiyaensis	1274	species	3113642	3	1	0.0
Kocuria rosea	1275	species	11520941	9	1	0.0
Kytococcus sedentarius	1276	species	2785024	1	0	0.0
Staphylococcus	1279	genus	5162113	2	0	0.0
Staphylococcus epidermidis	1282	species	2601987	1	0	0.0
Deinococcus	1298	genus	4067791	1	0	0.0
Deinococcus radiodurans	1299	species	6628921	2	0	0.0
Streptococcaceae	1300	family	2703668	1	0	0.0
Streptococcus	1301	genus	2347233	29	15	0.0
Streptococcus gordonii	1302	species	2196662	64	3	0.0
Streptococcus oralis	1303	species	1926449	19	2	0.0
Streptococcus salivarius	1304	species	2213879	2	0	0.0
Streptococcus sanguinis	1305	species	2388435	187	16	0.0
Streptococcus suis	1307	species	2106595	1	0	0.0
