name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	12	10	0.0
Azorhizobium caulinodans	7	species	5369772	1	0	0.0
Cellulomonas gilvus	11	species	3526441	3	0	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Myxococcales	29	order	9638245	17	0	0.0
Myxococcus xanthus	34	species	9139763	2	0	0.0
Myxococcus macrosporus	35	species	8973512	5	1	0.0
Cystobacter fuscus	43	species	12349744	4	2	0.0
Archangium gephyra	48	species	12489432	3	2	0.0
Sorangium cellulosum	56	species	13907952	14	3	0.0
Vitreoscilla	59	genus	0	1	0	0.0
Vitreoscilla filiformis	63	species	3787551	7	2	0.0
Lysobacter	68	genus	0	2	0	0.0
Lysobacter enzymogenes	69	species	12227539	2	1	0.0
Hyphomicrobium	81	genus	3700497	1	0	0.0
Leptothrix	88	genus	4909403	2	0	0.0
Stella humosa	94	species	5832650	5	2	0.0
Ancylobacter	99	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	1	0	0.0
Spirosoma	107	genus	0	1	0	0.0
Planctomycetales	112	order	5733343	1	0	0.0
Gemmata obscuriglobus	114	species	17998094	4	1	0.0
Planctomycetaceae	126	family	5733343	1	0	0.0
Methylocystis parvus	134	species	4529043	1	1	0.0
Spirochaetales	136	order	1876294	4	0	0.0
Spirochaetaceae	137	family	2749897	2	0	0.0
Borrelia	138	genus	1176628	1	0	0.0
Treponema	157	genus	2490077	3	2	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	2	0	0.0
Treponema phagedenis	162	species	17151030	7	0	0.0
Leptospirillum	179	genus	2432093	1	0	0.0
Aquaspirillum	187	genus	0	1	0	0.0
Azospirillum	191	genus	7223069	2	0	0.0
Azospirillum brasilense	192	species	50779208	3	0	0.0
Campylobacter	194	genus	2403822	9	7	0.0
Campylobacter fetus	196	species	2065164	3	0	0.0
Campylobacter hyointestinalis	198	species	1755214	2	0	0.0
Campylobacter concisus	199	species	2099413	22	5	0.0
Campylobacter curvus	200	species	1971270	15	0	0.0
Campylobacter showae	204	species	2160580	340	316	0.0
Campylobacter sputorum	206	species	1746988	2	1	0.0
Helicobacter	209	genus	1715890	2	0	0.0
Helicobacter pylori	210	species	1700965	1	1	0.0
Helicobacter cinaedi	213	species	2170766	1	1	0.0
Achromobacter	222	genus	7359146	9	0	0.0
Brucella	234	genus	4039663	1	1	0.0
Flavobacterium	237	genus	3461015	4	0	0.0
