name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Aeromonas veronii	654	species	4551783	1	1	0.0
Vibrio harveyi	669	species	35934227	2	0	0.0
Vibrio mimicus	674	species	26461692	1	0	0.0
Vibrio cincinnatiensis	675	species	15191860	3	0	0.0
Vibrio campbellii	680	species	8634154	2	1	0.0
Vibrio natriegens	691	species	10343839	1	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	2265772	18	7	0.0
Actinobacillus equuli	718	species	2431533	1	0	0.0
Haemophilus influenzae	727	species	2511163	1	0	0.0
Aggregatibacter aphrophilus	732	species	3481722	1	1	0.0
Pasteurella multocida	747	species	2875151	1	0	0.0
Rodentibacter pneumotropicus	758	species	2439769	1	0	0.0
Rickettsiales	766	order	1302079	1	0	0.0
Bartonella quintana	803	species	1584515	2	0	0.0
Bacteroides fragilis	817	species	5308603	2	0	0.0
Bacteroides thetaiotaomicron	818	species	6293399	1	0	0.0
Bacteroides vulgatus	821	species	5163189	1	0	0.0
Parabacteroides distasonis	823	species	10023638	1	0	0.0
Campylobacter gracilis	824	species	2281652	23	22	0.0
Butyrivibrio	830	genus	4404886	1	0	0.0
Porphyromonas gingivalis	837	species	2736420	31	16	0.0
Prevotella	838	genus	3023914	1	0	0.0
Fusobacterium nucleatum	851	species	3161193	10	3	0.0
Faecalibacterium prausnitzii	853	species	3102523	10	0	0.0
Fusobacterium varium	856	species	3346458	1	1	0.0
Fusobacterium necrophorum	859	species	4694448	9	1	0.0
Fusobacterium periodonticum	860	species	2541084	1	0	0.0
Dichelobacter nodosus	870	species	1389350	1	0	0.0
Desulfovibrio	872	genus	3919658	1	0	0.0
Desulfovibrio vulgaris str. Hildenborough	882	leaf	3773159	3	0	0.0
Desulfobulbus	893	genus	0	1	0	0.0
Desulfococcus multivorans	897	species	8911375	3	0	0.0
Desulfomicrobium baculatum	899	species	3942657	1	0	0.0
Desulfovibrio piger	901	species	2807531	1	1	0.0
Thiomonas intermedia	926	species	3462095	2	0	0.0
Herbaspirillum	963	genus	5363540	1	0	0.0
Herbaspirillum seropedicae	964	species	5513887	2	1	0.0
Halanaerobiaceae	972	family	2443704	1	0	0.0
Bacteroidetes	976	phylum	3686275	1	0	0.0
Capnocytophaga	1016	genus	2592165	1	0	0.0
Capnocytophaga gingivalis	1017	species	2838633	2	2	0.0
Capnocytophaga sputigena	1019	species	11962418	24	2	0.0
Chromatiaceae	1046	family	3825215	1	0	0.0
Rhodobacter	1060	genus	4425548	1	0	0.0
Rhodobacter sphaeroides	1063	species	4610091	1	1	0.0
Rhodopseudomonas palustris	1076	species	5494465	2	0	0.0
Blastochloris viridis	1079	species	11174693	3	0	0.0
Prosthecochloris	1101	genus	2579695	1	0	0.0
Cyanobacteria	1117	phylum	4896702	2	0	0.0
Nostoc	1177	genus	9602270	1	0	0.0
Proteobacteria	1224	phylum	6582363	15	0	0.0
Gammaproteobacteria	1236	class	8199621	15	0	0.0
Firmicutes	1239	phylum	3951907	4	0	0.0
Leuconostoc lactis	1246	species	7207125	2	0	0.0
Leuconostoc carnosum	1252	species	1773468	1	0	0.0
Pediococcus acidilactici	1254	species	28786024	1	0	0.0
Ruminococcus albus	1264	species	4482087	1	0	0.0
Micrococcaceae	1268	family	3809026	8	0	0.0
Micrococcus	1269	genus	4996790	1	0	0.0
Micrococcus luteus	1270	species	4996790	8	2	0.0
Dermacoccus nishinomiyaensis	1274	species	3113642	2	0	0.0
Kocuria rosea	1275	species	11520941	5	1	0.0
Kytococcus sedentarius	1276	species	2785024	1	0	0.0
Staphylococcus	1279	genus	5162113	2	0	0.0
Staphylococcus aureus	1280	species	5962137	1	1	0.0
Staphylococcus sciuri	1296	species	2811859	1	1	0.0
Deinococcus	1298	genus	4067791	1	0	0.0
Streptococcaceae	1300	family	2703668	2	0	0.0
Streptococcus	1301	genus	2347233	21	4	0.0
Streptococcus gordonii	1302	species	2196662	27	4	0.0
Streptococcus oralis	1303	species	1926449	5	0	0.0
Streptococcus salivarius	1304	species	2213879	1	0	0.0
Streptococcus sanguinis	1305	species	2388435	40	4	0.0
Streptococcus mutans	1309	species	2024183	2	0	0.0
Streptococcus agalactiae	1311	species	2111259	3	1	0.0
Streptococcus pneumoniae	1313	species	2114821	6	2	0.0
Streptococcus pyogenes	1314	species	1940888	24	1	0.0
Streptococcus anginosus	1328	species	2089210	13	0	0.0
Streptococcus dysgalactiae	1334	species	4983431	11	0	0.0
Streptococcus equi	1336	species	5023339	3	0	0.0
Streptococcus intermedius	1338	species	1963517	16	1	0.0
Streptococcus porcinus	1340	species	10166034	3	1	0.0
Streptococcus vestibularis	1343	species	1950305	1	0	0.0
Streptococcus parauberis	1348	species	2143887	2	0	0.0
Streptococcus uberis	1349	species	1852352	3	0	0.0
Enterococcus faecium	1352	species	2969925	1	0	0.0
Enterococcus gallinarum	1353	species	7096408	1	0	0.0
Lactococcus raffinolactis	1366	species	4587907	1	0	0.0
Gemella	1378	genus	0	2	0	0.0
Gemella haemolysans	1379	species	1926227	1	1	0.0
Atopobium parvulum	1382	species	1543805	1	0	0.0
Bacillus	1386	genus	6141499	4	2	0.0
Bacillus amyloliquefaciens	1390	species	3989737	1	1	0.0
Bacillus anthracis	1392	species	5860829	1	0	0.0
Bacillus cereus	1396	species	6509544	3	0	0.0
Bacillus circulans	1397	species	10449620	1	0	0.0
Bacillus coagulans	1398	species	3312652	5	0	0.0
Bacillus licheniformis	1402	species	8445242	1	0	0.0
Bacillus pumilus	1408	species	3704641	1	0	0.0
Lysinibacillus sphaericus	1421	species	4817463	1	1	0.0
Bacillus subtilis	1423	species	8637394	5	2	0.0
Bacillus thuringiensis	1428	species	6568323	2	0	0.0
Bacillus thuringiensis serovar morrisoni	1441	leaf	6179896	1	0	0.0
Bacillus atrophaeus	1452	species	4168266	3	1	0.0
Bacillus simplex	1478	species	5645783	1	0	0.0
Clostridium	1485	genus	4654291	1	0	0.0
Clostridium botulinum	1491	species	4204997	2	2	0.0
Clostridium butyricum	1492	species	41927457	1	0	0.0
Clostridioides difficile	1496	species	5221519	13	0	0.0
Clostridium perfringens	1502	species	3171211	1	0	0.0
Clostridium septicum	1504	species	6858862	2	0	0.0
Paeniclostridium sordellii	1505	species	3584812	1	1	0.0
Thermoclostridium stercorarium	1510	species	4042789	1	0	0.0
Clostridium tetani	1513	species	2869591	1	0	0.0
Moorella thermoacetica	1525	species	2628784	1	1	0.0
Clostridium kluyveri	1534	species	3989551	1	0	0.0
Clostridium scatologenes	1548	species	5749410	1	0	0.0
Clostridium estertheticum subsp. estertheticum	1552	subspecies	4785613	1	1	0.0
Clostridium baratii	1561	species	3338630	1	0	0.0
Leifsonia xyli	1575	species	2635288	2	0	0.0
Lactobacillus	1578	genus	3009630	2	0	0.0
Lactobacillus plantarum	1590	species	5152316	3	0	0.0
Lactobacillus reuteri	1598	species	2114305	3	0	0.0
Lactobacillus coryniformis	1610	species	3045091	1	0	0.0
Lactobacillus salivarius	1624	species	2056170	1	0	0.0
Corynebacteriaceae	1653	family	2732186	1	0	0.0
Actinomyces	1654	genus	2811991	133	29	0.0
Actinomyces naeslundii	1655	species	3040449	97	3	0.0
Actinomyces viscosus	1656	species	3491241	120	20	0.0
Actinomyces israelii	1659	species	2572997	16	3	0.0
Schaalia odontolytica	1660	species	4792768	30	6	0.0
Trueperella pyogenes	1661	species	2272494	4	1	0.0
Arthrobacter	1663	genus	0	3	0	0.0
Bifidobacterium	1678	genus	2688194	5	0	0.0
Bifidobacterium angulatum	1683	species	2021974	1	0	0.0
Bifidobacterium breve	1685	species	2317134	2	0	0.0
Bifidobacterium dentium	1689	species	2636018	1	0	0.0
Bifidobacterium pseudolongum	1694	species	2005427	2	0	0.0
Brevibacterium	1696	genus	0	2	0	0.0
Corynebacterium ammoniagenes	1697	species	2790185	2	0	0.0
Cellulomonas	1707	genus	3971988	3	0	0.0
Cellulomonas fimi	1708	species	4266344	4	0	0.0
Cellulosimicrobium cellulans	1710	species	9019668	5	1	0.0
Corynebacterium	1716	genus	2732186	6	0	0.0
Corynebacterium pseudotuberculosis	1719	species	2347054	1	0	0.0
Corynebacterium xerosis	1725	species	5560360	8	1	0.0
Eubacterium	1730	genus	0	1	0	0.0
Eubacterium limosum	1736	species	13313701	1	1	0.0
Propionibacterium	1743	genus	2646865	3	0	0.0
Propionibacterium freudenreichii	1744	species	2646865	4	1	0.0
Cutibacterium acnes	1747	species	2513231	3	1	0.0
Acidipropionibacterium acidipropionici	1748	species	3656170	20	1	0.0
Acidipropionibacterium jensenii	1749	species	12257369	14	2	0.0
Pseudopropionibacterium propionicum	1750	species	3449360	2491	273	0.0
Propionibacterium freudenreichii subsp. shermanii	1752	subspecies	2675045	1	0	0.0
Actinobacteria	1760	class	5015669	92	28	0.0
Mycobacteriaceae	1762	family	7116636	5	0	0.0
Mycobacterium	1763	genus	7259758	4	0	0.0
Mycobacterium avium	1764	species	18898623	2	0	0.0
Mycobacterium intracellulare	1767	species	5499669	2	0	0.0
Mycolicibacterium phlei	1771	species	5349645	1	1	0.0
Mycobacterium tuberculosis	1773	species	5853101	1	0	0.0
Mycobacterium cookii	1775	species	5318517	1	1	0.0
Mycobacterium marinum	1781	species	6555333	3	0	0.0
Mycolicibacter terrae	1788	species	9098503	2	0	0.0
Mycobacterium xenopi	1789	species	4917655	3	3	0.0
Mycolicibacterium aurum	1791	species	12074314	3	1	0.0
Mycolicibacterium fallax	1793	species	4156821	2	2	0.0
Mycolicibacterium gadium	1794	species	5964999	1	0	0.0
Mycolicibacterium neoaurum	1795	species	5421267	4	2	0.0
Mycolicibacterium aichiense	1799	species	5925482	2	0	0.0
Amycolatopsis	1813	genus	12051167	1	0	0.0
Amycolatopsis methanolica	1814	species	7237391	1	0	0.0
Nocardia	1817	genus	7567967	2	0	0.0
Nocardia otitidiscaviarum	1823	species	7687583	4	2	0.0
Nocardia asteroides	1824	species	6983363	2	1	0.0
Rhodococcus	1827	genus	6750748	4	1	0.0
Rhodococcus ruber	1830	species	28280812	1	0	0.0
Saccharopolyspora erythraea	1836	species	8212805	1	0	0.0
Nocardioides	1839	genus	4376707	5	0	0.0
Pseudonocardia	1847	genus	7303989	2	0	0.0
Saccharomonospora viridis	1852	species	4308349	1	0	0.0
Frankia	1854	genus	7497934	1	0	0.0
Dermatophilus congolensis	1863	species	2627820	1	0	0.0
Actinoplanes	1865	genus	8812229	2	0	0.0
Actinoplanes missouriensis	1866	species	8773466	2	0	0.0
Streptomyces	1883	genus	9710281	39	5	0.0
Streptomyces actuosus	1885	species	8145579	2	0	0.0
Streptomyces albidoflavus	1886	species	21143534	2	0	0.0
Streptomyces albus	1888	species	33079680	3	1	0.0
Streptomyces ambofaciens	1889	species	8393598	2	0	0.0
Streptomyces atratus	1893	species	9641288	1	0	0.0
Kitasatospora aureofaciens	1894	species	7076402	1	0	0.0
Streptomyces clavuligerus	1901	species	24193969	10	0	0.0
Streptomyces exfoliatus	1905	species	7646296	2	2	0.0
Streptomyces glaucescens	1907	species	7623774	3	2	0.0
Streptomyces hygroscopicus	1912	species	10333189	2	0	0.0
Streptomyces rimosus	1927	species	19019657	4	0	0.0
Streptomyces tendae	1932	species	7343456	1	1	0.0
Streptomyces violaceoruber	1935	species	7916045	3	1	0.0
Streptomyces albireticuli	1940	species	8144417	2	0	0.0
Streptomyces vinaceus	1960	species	7673509	3	3	0.0
Streptomyces kanamyceticus	1967	species	10133897	1	1	0.0
Streptomyces chartreusis	1969	species	17966634	2	1	0.0
Actinomadura	1988	genus	0	2	0	0.0
Streptosporangium roseum	2001	species	10369518	1	0	0.0
Streptosporangiaceae	2004	family	10369518	2	0	0.0
Thermomonosporaceae	2012	family	5639016	1	0	0.0
Nocardiopsis	2013	genus	6177891	2	0	0.0
Nocardiopsis dassonvillei	2014	species	6543312	1	0	0.0
Thermomonospora curvata	2020	species	5639016	1	0	0.0
Thermobifida fusca	2021	species	3642249	1	0	0.0
Thermoactinomyces vulgaris	2026	species	5233536	2	0	0.0
Actinomycetales	2037	order	2376616	5	0	0.0
Aeromicrobium	2040	genus	0	1	0	0.0
Aeromicrobium erythreum	2041	species	3629239	2	0	0.0
Pimelobacter	2044	genus	0	1	0	0.0
Pimelobacter simplex	2045	species	5637360	3	3	0.0
Rothia dentocariosa	2047	species	2506025	2	0	0.0
Actinomycetaceae	2049	family	2376616	34	0	0.0
Mobiluncus curtisii	2051	species	2146480	1	0	0.0
Gordonia	2053	genus	5567155	2	0	0.0
Gordonia terrae	2055	species	16723305	3	0	0.0
Tsukamurella paurometabola	2061	species	4479724	2	0	0.0
Streptomycetaceae	2062	family	9677174	14	0	0.0
Kitasatospora	2063	genus	8783278	1	0	0.0
Kitasatospora setae	2066	species	8783278	1	0	0.0
Pseudonocardiaceae	2070	family	9441254	7	0	0.0
Saccharothrix	2071	genus	9360653	1	0	0.0
Pseudonocardia autotrophica	2074	species	7535285	3	2	0.0
Mycoplasma	2093	genus	1460880	1	0	0.0
Mycoplasma gallisepticum	2096	species	969960	2	0	0.0
Mycoplasma hominis	2098	species	690305	1	0	0.0
Mycoplasma iowae	2116	species	1315476	1	0	0.0
Mycoplasma orale	2121	species	806218	1	0	0.0
Mycoplasma salivarium	2124	species	1737288	1	0	0.0
Spiroplasma citri	2133	species	12831000	1	0	0.0
Spiroplasma melliferum	2134	species	1412375	1	0	0.0
Spiroplasma clarkii	2139	species	3118452	2	0	0.0
Mesoplasma florum	2151	species	809524	1	1	0.0
Methanobacteriaceae	2159	family	1989655	2	0	0.0
Methanobacterium	2160	genus	0	5	0	0.0
Methanobacterium formicicum	2162	species	4944497	6	0	0.0
Methanobrevibacter	2172	genus	2395181	9	1	0.0
Methanobrevibacter smithii	2173	species	1853160	77	6	0.0
Methanothermus	2179	genus	1243342	1	0	0.0
Methanosarcinaceae	2206	family	3999502	2	0	0.0
Methanosarcina	2207	genus	4464084	1	0	0.0
Methanococcoides methylutens	2226	species	2394636	1	0	0.0
Thermococcaceae	2259	family	2048998	1	0	0.0
Methanosphaera	2316	genus	1767403	1	0	0.0
Methanosphaera stadtmanae	2317	species	1767403	8	0	0.0
Bathymodiolus thermophilus thioautotrophic gill symbiont	2360	species	2832685	1	0	0.0
Roseobacter denitrificans	2434	species	4331234	1	0	0.0
Cardiobacterium hominis	2718	species	2670755	1	1	0.0
Marinobacter	2742	genus	4384621	1	0	0.0
Homo sapiens	9606	species	3272089205	453	231	0.0
Paramecium bursaria Chlorella virus 1	10506	species	330611	1	1	0.0
Acidovorax	12916	genus	4877171	1	0	0.0
Azoarcus	12960	genus	0	1	0	0.0
Burkholderia mallei	13373	species	7121566	2	0	0.0
Sphingobium yanoikuyae	13690	species	22942584	1	1	0.0
Bifidobacterium pseudocatenulatum	28026	species	2313752	1	0	0.0
Streptococcus mitis	28037	species	2007747	7	0	0.0
Mycolicibacterium confluentis	28047	species	5876557	1	0	0.0
Acidothermus cellulolyticus	28049	species	2443540	1	0	0.0
Micromonosporaceae	28056	family	7309173	5	0	0.0
Rubrivivax	28067	genus	5043253	1	0	0.0
Nitrospirillum amazonense	28077	species	7382386	1	0	0.0
Campylobacter upsaliensis	28080	species	1671550	1	1	0.0
Neisseria weaveri	28091	species	4426978	2	0	0.0
Burkholderia gladioli	28095	species	17543424	3	1	0.0
Tannerella forsythia	28112	species	3383154	2	0	0.0
Bacteroides heparinolyticus	28113	species	3608975	3	1	0.0
Odoribacter splanchnicus	28118	species	4392288	2	0	0.0
Bacteroides zoogleoformans	28119	species	3361794	3	2	0.0
Prevotella intermedia	28131	species	2686803	8	5	0.0
Capnocytophaga canimorsus	28188	species	2571406	1	0	0.0
Capnocytophaga cynodegmi	28189	species	2640475	1	0	0.0
Arcobacter cryaerophilus	28198	species	2082127	1	0	0.0
Alphaproteobacteria	28211	class	3925312	22	0	0.0
Betaproteobacteria	28216	class	5609802	11	0	0.0
Deltaproteobacteria	28221	class	5142330	11	0	0.0
Geobacter	28231	genus	4227210	1	0	0.0
Halomonadaceae	28256	family	919058	2	0	0.0
Arcanobacterium haemolyticum	28264	species	1986154	1	0	0.0
Clavibacter michiganensis	28447	species	5099992	2	0	0.0
Komagataeibacter xylinus	28448	species	3905082	2	0	0.0
Neisseria subflava	28449	species	4517530	3	1	0.0
Burkholderia pseudomallei	28450	species	7728704	5	0	0.0
Streptomyces nitrosporeus	28894	species	7581562	1	1	0.0
Salmonella enterica	28901	species	11815080	3	0	0.0
Bacillus thuringiensis serovar galleriae	29338	leaf	6742233	1	0	0.0
[Clostridium] cellulosi	29343	species	2229578	2	1	0.0
[Clostridium] scindens	29347	species	3658040	1	0	0.0
Staphylococcus auricularis	29379	species	2216666	2	1	0.0
Staphylococcus caprae	29380	species	10537565	4	0	0.0
Staphylococcus kloosii	29384	species	2639038	1	1	0.0
Gemella morbillorum	29391	species	3540381	23	5	0.0
Dolosigranulum pigrum	29394	species	2082055	1	0	0.0
Microlunatus	29404	genus	5683123	1	0	0.0
Microlunatus phosphovorus	29405	species	5683123	1	0	0.0
Rhodoplanes	29407	genus	0	1	0	0.0
Methylorubrum zatmanii	29429	species	5610348	1	0	0.0
Veillonella parvula	29466	species	2132142	1	0	0.0
Borreliella afzelii	29518	species	1151622	1	0	0.0
Rhodothermus marinus	29549	species	3360429	1	0	0.0
Acholeplasma axanthum	29552	species	1883099	2	0	0.0
Mycoplasma canadense	29554	species	693241	1	1	0.0
Mycoplasma canis	29555	species	897443	1	0	0.0
Mycoplasma hyosynoviae	29559	species	863547	1	0	0.0
Bifidobacteriaceae	31953	family	2593741	3	0	0.0
Propionibacteriaceae	31957	family	2827829	15	0	0.0
Amycolatopsis orientalis	31958	species	9490992	3	1	0.0
Clavibacter michiganensis subsp. sepedonicus	31964	subspecies	3403786	1	0	0.0
Mollicutes	31969	class	1398080	2	0	0.0
Veillonellaceae	31977	family	2371811	1	0	0.0
Clostridiaceae	31979	family	4509975	1	0	0.0
Rhodobacteraceae	31989	family	4505216	4	0	0.0
Methylobacterium radiotolerans	31998	species	6899110	1	0	0.0
Achromobacter denitrificans	32002	species	20166270	2	0	0.0
Nitrosomonadales	32003	order	3061161	3	0	0.0
Burkholderia	32008	genus	8385645	2	1	0.0
Burkholderia gladioli pv. gladioli	32009	leaf	26034550	1	1	0.0
Xanthomonadaceae	32033	family	18116294	1	0	0.0
Rothia	32207	genus	2385314	1	0	0.0
Cutibacterium avidum	33010	species	2526138	3	1	0.0
Cutibacterium granulosum	33011	species	2175244	5	0	0.0
Parvimonas micra	33033	species	4966270	111	5	0.0
Blautia producta	33035	species	6197116	2	0	0.0
Streptococcus milleri	33040	species	3747706	38	11	0.0
Bartonella vinsonii	33047	species	1802699	1	0	0.0
Thauera	33057	genus	3711792	1	0	0.0
Coriobacterium	33870	genus	2115681	1	0	0.0
Microbacterium	33882	genus	3982034	5	0	0.0
Rathayibacter	33886	genus	4359758	1	0	0.0
Amycolatopsis mediterranei	33910	species	13655759	2	0	0.0
Aeribacillus pallidus	33936	species	4089457	1	0	0.0
Geobacillus thermoleovorans	33941	species	3596620	1	0	0.0
Lactobacillus johnsonii	33959	species	1907846	2	0	0.0
Melissococcus plutonius	33970	species	2059558	1	0	0.0
Kineococcus	33981	genus	4956672	1	0	0.0
Paracoccus aminophilus	34003	species	4873118	1	0	0.0
Moraxella osloensis	34062	species	22729658	1	1	0.0
Variovorax paradoxus	34073	species	6817856	4	1	0.0
Riemerella anatipestifer	34085	species	2642718	1	1	0.0
Sphaerotilus	34102	genus	4430992	1	0	0.0
Sphaerotilus natans	34103	species	4430992	1	0	0.0
Streptobacillus moniliformis	34105	species	1673280	3	0	0.0
Geobacter sulfurreducens	35554	species	3764200	2	0	0.0
Citrobacter amalonaticus	35703	species	5875351	2	0	0.0
Haloferax gibbonsii	35746	species	3918454	2	1	0.0
Bifidobacterium choerinum	35760	species	2257294	3	2	0.0
Nitrosospira	35798	genus	3222211	1	0	0.0
Rhodovulum sulfidophilum	35806	species	4347929	2	0	0.0
Bordetella holmesii	35814	species	3698615	1	0	0.0
Microbacterium aurum	36805	species	3424892	2	1	0.0
Mycobacteroides abscessus	36809	species	6441676	4	1	0.0
Mycolicibacterium rhodesiae	36814	species	6415739	1	0	0.0
Streptomyces subrutilus	36818	species	7604974	1	0	0.0
Nocardia farcinica	37329	species	6292344	4	0	0.0
Nocardia seriolae	37332	species	16426251	6	0	0.0
Enterococcus casseliflavus	37734	species	3427276	3	1	0.0
Dietzia	37914	genus	0	2	0	0.0
Sinomonas atrocyanea	37927	species	4492204	5	0	0.0
Arthrobacter crystallopoietes	37928	species	5032705	4	2	0.0
Glutamicibacter nicotianae	37929	species	3797724	1	0	0.0
Photobacterium damselae	38293	species	6680153	1	0	0.0
Corynebacterium vitaeruminis	38305	species	2931780	1	0	0.0
Methanococcus maripaludis	39152	species	1760275	1	1	0.0
Anaerobutyricum hallii	39488	species	3515670	3	2	0.0
Mycolicibacterium duvalii	39688	species	5657388	1	1	0.0
Mycolicibacterium parafortuitum	39692	species	6044196	1	1	0.0
Mycolicibacterium poriferae	39694	species	5929171	1	0	0.0
Veillonella dispar	39778	species	2116915	1	0	0.0
Dialister pneumosintes	39950	species	1274073	3	2	0.0
Streptococcus equi subsp. zooepidemicus	40041	subspecies	19334008	8	1	0.0
Methylophaga	40222	genus	0	1	0	0.0
Stenotrophomonas	40323	genus	4684682	1	0	0.0
Stenotrophomonas maltophilia	40324	species	4684682	4	1	0.0
Actinosynnema mirum	40567	species	8248144	2	0	0.0
Thioploca ingrica	40754	species	4810005	1	1	0.0
Bradyrhizobiaceae	41294	family	6811178	1	0	0.0
Rhodospirillaceae	41295	family	4756441	1	0	0.0
Sphingomonadaceae	41297	family	4220148	1	0	0.0
Burkholderia plantarii	41899	species	15977589	5	1	0.0
Azoarcus communis	41977	species	9459014	1	1	0.0
Actinosynnema pretiosum	42197	species	8340266	4	0	0.0
Streptomyces sampsonii	42239	species	7070328	2	0	0.0
Corynebacterium argentoratense	42817	species	2031902	1	0	0.0
Sulfolobus islandicus	43080	species	2647110	1	1	0.0
Pseudomonas alcaligenes	43263	species	4406305	1	1	0.0
Pseudomonas denitrificans (nomen rejiciendum)	43306	species	6880508	1	0	0.0
