name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	6	5	0.0
Buchnera aphidicola	9	species	602805	1	0	0.0
Myxococcales	29	order	9638245	3	0	0.0
Myxococcus xanthus	34	species	9139763	1	0	0.0
Myxococcus macrosporus	35	species	8973512	1	0	0.0
Archangium gephyra	48	species	12489432	1	1	0.0
Chondromyces crocatus	52	species	11388132	1	1	0.0
Sorangium cellulosum	56	species	13907952	6	3	0.0
Vitreoscilla	59	genus	0	1	0	0.0
Lysobacter	68	genus	0	1	0	0.0
Hyphomicrobium	81	genus	3700497	1	0	0.0
Planctomycetales	112	order	5733343	1	0	0.0
Gemmata obscuriglobus	114	species	17998094	4	2	0.0
Borrelia turicatae	142	species	1165365	1	0	0.0
Spirochaeta	146	genus	2772907	1	0	0.0
Treponema	157	genus	2490077	2	0	0.0
Treponema phagedenis	162	species	17151030	3	0	0.0
Azospirillum brasilense	192	species	50779208	8	1	0.0
Campylobacter	194	genus	2403822	1	1	0.0
Campylobacter coli	195	species	1776238	1	0	0.0
Campylobacter hyointestinalis	198	species	1755214	1	0	0.0
Campylobacter concisus	199	species	2099413	4	2	0.0
Campylobacter curvus	200	species	1971270	1	0	0.0
Campylobacter showae	204	species	2160580	31	27	0.0
Achromobacter	222	genus	7359146	1	0	0.0
Brucella	234	genus	4039663	2	1	0.0
Chryseobacterium balustinum	246	species	4974086	1	1	0.0
Chryseobacterium indoltheticum	254	species	8445673	1	1	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	1	0	0.0
Paracoccus denitrificans	266	species	5236194	1	0	0.0
Pseudomonas	286	genus	9017316	2	0	0.0
Pseudomonas aeruginosa	287	species	6798896	8	0	0.0
Pseudomonas fluorescens	294	species	6604895	5	0	0.0
Pseudomonas mendocina	300	species	5293211	2	0	0.0
Pseudomonas putida	303	species	6160317	4	1	0.0
Ralstonia solanacearum	305	species	5757294	2	1	0.0
Pseudomonas stutzeri	316	species	4548207	2	1	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	1	1	0.0
