name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	25	22	0.0
Cellvibrio	10	genus	4576573	2	0	0.0
Cellulomonas gilvus	11	species	3526441	2	0	0.0
Methylophilus	16	genus	0	2	0	0.0
Pelobacter	18	genus	3953506	1	0	0.0
Phenylobacterium	20	genus	4379231	1	0	0.0
Shewanella	22	genus	5140018	4	1	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Myxococcales	29	order	9638245	38	0	0.0
Myxococcaceae	31	family	9636120	4	0	0.0
Myxococcus	32	genus	9487953	7	0	0.0
Myxococcus xanthus	34	species	9139763	23	2	0.0
Myxococcus macrosporus	35	species	8973512	11	3	0.0
Archangiaceae	39	family	10085598	6	0	0.0
Cystobacter	42	genus	0	1	0	0.0
Cystobacter fuscus	43	species	12349744	6	1	0.0
Melittangium	44	genus	9910441	1	0	0.0
Archangium gephyra	48	species	12489432	9	2	0.0
Polyangiaceae	49	family	13907952	1	0	0.0
Chondromyces crocatus	52	species	11388132	8	3	0.0
Sorangium cellulosum	56	species	13907952	22	12	0.0
Vitreoscilla	59	genus	0	20	0	0.0
Vitreoscilla filiformis	63	species	3787551	33	7	0.0
Lysobacter	68	genus	0	7	0	0.0
Lysobacter enzymogenes	69	species	12227539	7	2	0.0
Simonsiella muelleri	72	species	2469862	8	0	0.0
Caulobacter	75	genus	4238499	4	0	0.0
Hyphomicrobium	81	genus	3700497	1	0	0.0
Hyphomonas	85	genus	3705021	1	0	0.0
Leptothrix	88	genus	4909403	24	0	0.0
Stella humosa	94	species	5832650	11	3	0.0
Ancylobacter	99	genus	0	2	0	0.0
Planctomycetales	112	order	5733343	4	0	0.0
Gemmata	113	genus	0	1	0	0.0
Gemmata obscuriglobus	114	species	17998094	6	2	0.0
Rubinisphaera brasiliensis	119	species	6006602	1	0	0.0
Gimesia maris	122	species	15634937	4	0	0.0
Methylocystis	133	genus	0	1	0	0.0
Methylocystis parvus	134	species	4529043	3	1	0.0
Spirochaetales	136	order	1876294	4	0	0.0
Spirochaetaceae	137	family	2749897	2	0	0.0
Borrelia	138	genus	1176628	1	0	0.0
Spirochaeta	146	genus	2772907	1	0	0.0
Treponema	157	genus	2490077	8	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	2	0	0.0
Treponema phagedenis	162	species	17151030	12	0	0.0
Leptospira interrogans	173	species	6128534	2	2	0.0
Leptospirillum	179	genus	2432093	1	0	0.0
Aquaspirillum	187	genus	0	5	0	0.0
Azospirillum	191	genus	7223069	7	0	0.0
Azospirillum brasilense	192	species	50779208	23	4	0.0
Campylobacter	194	genus	2403822	10	5	0.0
Campylobacter coli	195	species	1776238	1	0	0.0
Campylobacter jejuni	197	species	3124996	4	0	0.0
Campylobacter concisus	199	species	2099413	39	15	0.0
Campylobacter curvus	200	species	1971270	14	0	0.0
Campylobacter showae	204	species	2160580	669	625	0.0
Campylobacter sputorum	206	species	1746988	1	1	0.0
Helicobacter pylori	210	species	1700965	4	3	0.0
Helicobacter cinaedi	213	species	2170766	2	0	0.0
Helicobacter mustelae	217	species	1578097	2	0	0.0
Achromobacter	222	genus	7359146	71	0	0.0
Alteromonas	226	genus	4609878	1	0	0.0
Brucella	234	genus	4039663	5	2	0.0
Flavobacterium	237	genus	3461015	3	0	0.0
Chryseobacterium balustinum	246	species	4974086	3	2	0.0
Empedobacter brevis	247	species	7431270	4	1	0.0
Chryseobacterium gleum	250	species	9292597	3	1	0.0
Chryseobacterium indologenes	253	species	35240523	7	3	0.0
Chryseobacterium indoltheticum	254	species	8445673	4	1	0.0
Francisella	262	genus	3767258	2	0	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	2	0	0.0
Paracoccus	265	genus	5054656	10	0	0.0
Paracoccus denitrificans	266	species	5236194	9	0	0.0
Thermus	270	genus	2279019	2	0	0.0
Thermus thermophilus	274	species	2214494	5	1	0.0
Xanthobacter autotrophicus	280	species	5625098	2	0	0.0
Comamonas	283	genus	5461687	29	0	0.0
Comamonas testosteroni	285	species	5856025	52	15	0.0
Pseudomonas	286	genus	9017316	174	11	0.0
Pseudomonas aeruginosa	287	species	6798896	372	80	0.0
Pseudoalteromonas atlantica	288	species	5187005	1	0	0.0
Burkholderia cepacia	292	species	13565292	11	4	0.0
Brevundimonas diminuta	293	species	3551819	1	0	0.0
Pseudomonas fluorescens	294	species	6604895	36	9	0.0
Pseudomonas fragi	296	species	10253943	2	0	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	4	0	0.0
Pseudomonas mendocina	300	species	5293211	14	5	0.0
Pseudomonas oleovorans	301	species	4686340	6	0	0.0
Pseudomonas putida	303	species	6160317	43	12	0.0
Ralstonia solanacearum	305	species	5757294	97	9	0.0
Pseudomonas stutzeri	316	species	4548207	87	5	0.0
Pseudomonas syringae	317	species	8747300	8	1	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	1	0	0.0
Ralstonia pickettii	329	species	5505543	13	0	0.0
Burkholderia glumae	337	species	6878727	14	0	0.0
Xanthomonas	338	genus	23419814	31	2	0.0
Xanthomonas campestris	339	species	7099366	6	1	0.0
Xanthomonas translucens	343	species	11701367	3	0	0.0
Xanthomonas citri	346	species	27676482	11	2	0.0
Xanthomonas oryzae	347	species	63225372	11	0	0.0
Azotobacter	352	genus	5311796	1	0	0.0
Azotobacter chroococcum	353	species	5192286	11	1	0.0
Azotobacter vinelandii	354	species	5351632	3	0	0.0
Rhizobiales	356	order	5410296	114	0	0.0
Agrobacterium	357	genus	6422834	4	0	0.0
Agrobacterium tumefaciens	358	species	7273300	41	3	0.0
Agrobacterium rhizogenes	359	species	5482241	3	1	0.0
Agrobacterium vitis	373	species	6320946	1	0	0.0
Bradyrhizobium	374	genus	11894480	15	5	0.0
Bradyrhizobium japonicum	375	species	9207384	6	2	0.0
Bradyrhizobium sp.	376	species	7547693	1	0	0.0
Rhizobium	379	genus	8184003	14	2	0.0
Sinorhizobium fredii	380	species	6924988	1	0	0.0
Sinorhizobium meliloti	382	species	7082772	9	4	0.0
Rhizobium leguminosarum	384	species	9364981	12	3	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	6	1	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	2	1	0.0
Rhizobium phaseoli	396	species	6665454	11	2	0.0
Neorhizobium galegae	399	species	6434105	1	0	0.0
Methylococcaceae	403	family	4384317	8	0	0.0
Methylobacillus	404	genus	2971517	3	0	0.0
Methylobacillus flagellatus	405	species	2971517	2	0	0.0
Methylobacterium	407	genus	7144985	5	0	0.0
Methylorubrum extorquens	408	species	8218505	5	3	0.0
Methylococcus	413	genus	3304561	3	0	0.0
Methylococcus capsulatus	414	species	3304561	1	0	0.0
Methylomonas	416	genus	5051681	2	0	0.0
Methylosinus	425	genus	5183433	1	0	0.0
Acetobacteraceae	433	family	3826783	14	0	0.0
Acetobacter	434	genus	3590557	1	0	0.0
Acetobacter aceti	435	species	3725037	2	2	0.0
Gluconobacter oxydans	442	species	4181963	1	0	0.0
Legionella longbeachae	450	species	4149158	5	0	0.0
Tatlockia micdadei	451	species	9836958	1	0	0.0
Legionella israelensis	454	species	9344693	2	0	0.0
Moraxellaceae	468	family	3943545	7	0	0.0
Acinetobacter	469	genus	4126830	8	1	0.0
Acinetobacter baumannii	470	species	4233127	1	1	0.0
Moraxella	475	genus	1863286	2	0	0.0
Moraxella bovis	476	species	2911207	2	2	0.0
Moraxella catarrhalis	480	species	1863286	8	0	0.0
Neisseriaceae	481	family	2244925	73	0	0.0
Neisseria	482	genus	2223758	477	236	0.0
Neisseria cinerea	483	species	1832904	190	17	0.0
Neisseria flavescens	484	species	2231882	205	11	0.0
Neisseria gonorrhoeae	485	species	2216159	235	12	0.0942882
Neisseria lactamica	486	species	2220606	417	13	0.0
Neisseria meningitidis	487	species	2222288	636	105	0.0
Neisseria mucosa	488	species	2783943	1151	508	0.0750582
Neisseria polysaccharea	489	species	2024930	197	11	0.0
Neisseria animalis	492	species	4477875	95	1	0.0
Neisseria canis	493	species	2569389	33	7	0.0
Neisseria elongata	495	species	2253031	7843	1080	0.0927452
Kingella kingae	504	species	4021433	35	4	0.0
Alcaligenaceae	506	family	4354306	63	0	0.0
Alcaligenes	507	genus	0	6	0	0.0
Alcaligenes faecalis	511	species	32768163	33	4	0.0
Bordetella	517	genus	4536693	69	0	0.0
Bordetella bronchiseptica	518	species	5231793	19	2	0.0
Bordetella parapertussis	519	species	4836562	8	0	0.0
Bordetella pertussis	520	species	4781978	1	0	0.0
Bordetella avium	521	species	3732255	17	1	0.0
Acidiphilium cryptum	524	species	3963080	1	0	0.0
Ochrobactrum anthropi	529	species	5205777	4	2	0.0
Chromobacterium	535	genus	4751080	28	0	0.0
Chromobacterium violaceum	536	species	4751080	15	0	0.0
Eikenella	538	genus	0	16	0	0.0
Eikenella corrodens	539	species	4651055	1232	313	0.0
Zymomonas mobilis	542	species	3463673	2	1	0.0
Enterobacteriaceae	543	family	10341043	34	0	0.0
Citrobacter	544	genus	5276819	6	1	0.0
Citrobacter koseri	545	species	4735357	7	2	0.0
Citrobacter freundii	546	species	5164552	14	1	0.0
Enterobacter	547	genus	11028548	8	1	0.0
Klebsiella aerogenes	548	species	5435727	10	1	0.0
Pantoea agglomerans	549	species	30133336	3	0	0.0
Enterobacter cloacae	550	species	5356576	13	2	0.0
Erwinia	551	genus	4250482	4	0	0.0
Erwinia amylovora	552	species	3869718	3	0	0.0
Pantoea ananatis	553	species	4838981	3	0	0.0
Pectobacterium carotovorum	554	species	6477254	3	0	0.0
Pectobacterium carotovorum subsp. carotovorum	555	subspecies	9726078	4	0	0.0
Dickeya chrysanthemi	556	species	4813854	1	0	0.0
Escherichia	561	genus	8380592	1	0	0.0
Escherichia coli	562	species	8437634	21	4	0.0
Shimwellia blattae	563	species	4158725	1	0	0.0
Escherichia fergusonii	564	species	4643861	1	1	0.0
Atlantibacter hermannii	565	species	13352683	2	0	0.0
Hafnia	568	genus	4712721	1	0	0.0
Klebsiella	570	genus	12784449	5	0	0.0
Klebsiella oxytoca	571	species	6684898	10	0	0.0
Klebsiella pneumoniae	573	species	14826006	12	3	0.0
Raoultella planticola	575	species	17105658	12	0	0.0
