name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	434	322	0.0
Azorhizobium	6	genus	5369772	81	0	0.0
Azorhizobium caulinodans	7	species	5369772	149	0	0.0
Buchnera aphidicola	9	species	602805	103	34	0.0
Cellvibrio	10	genus	4576573	41	0	0.0
Cellulomonas gilvus	11	species	3526441	107	0	0.0
Dictyoglomus thermophilum	14	species	1959987	2	0	0.0
Methylophilus	16	genus	0	11	0	0.0
Pelobacter	18	genus	3953506	57	0	0.0
Pelobacter carbinolicus	19	species	3665893	8	0	0.0
Phenylobacterium	20	genus	4379231	96	0	0.0
Shewanella	22	genus	5140018	264	29	0.0
Shewanella putrefaciens	24	species	4749735	869	64	0.0
Myxococcales	29	order	9638245	2974	1	0.0
Myxococcaceae	31	family	9636120	228	0	0.0
Myxococcus	32	genus	9487953	422	0	0.0
Myxococcus xanthus	34	species	9139763	5775	912	0.00018821
Myxococcus macrosporus	35	species	8973512	2604	674	0.0
Archangiaceae	39	family	10085598	306	0	0.0
Stigmatella	40	genus	10260756	30	0	0.0
Stigmatella aurantiaca	41	species	10260756	132	0	0.0
Cystobacter	42	genus	0	39	0	0.0
Cystobacter fuscus	43	species	12349744	3688	2151	0.000104174
Melittangium	44	genus	9910441	33	0	0.0
Archangium	47	genus	0	54	0	0.0
Archangium gephyra	48	species	12489432	3790	2271	0.0
Polyangiaceae	49	family	13907952	219	0	0.0
Chondromyces	50	genus	0	30	0	0.0
Chondromyces crocatus	52	species	11388132	2925	1996	0.0
Sorangium cellulosum	56	species	13907952	19450	8528	9.83305e-05
Vitreoscilla	59	genus	0	93	0	0.0
Vitreoscilla filiformis	63	species	3787551	1314	679	0.0
Lysobacter	68	genus	0	1325	3	0.0
Lysobacter enzymogenes	69	species	12227539	8209	3475	0.0
Simonsiella muelleri	72	species	2469862	11	0	0.0
Caulobacter	75	genus	4238499	433	4	0.0
Hyphomicrobium	81	genus	3700497	143	0	0.0
Hyphomonas	85	genus	3705021	28	0	0.0
Leptothrix	88	genus	4909403	479	0	0.0
Stella	93	genus	0	162	0	0.0
Stella humosa	94	species	5832650	5252	3412	0.0
Gallionella	96	genus	3162471	25	0	0.0
Ancylobacter	99	genus	0	121	0	0.0
Runella	105	genus	0	7	0	0.0
Spirosoma	107	genus	0	8	0	0.0
Planctomycetales	112	order	5733343	181	0	0.0
Gemmata	113	genus	0	65	0	0.0
Gemmata obscuriglobus	114	species	17998094	3941	2142	0.0
Planctomyces	118	genus	0	38	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	4	0	0.0
Gimesia maris	122	species	15634937	208	82	0.0
Pirellula	123	genus	6196199	3	0	0.0
Pirellula staleyi	125	species	6196199	14	0	0.0
Planctomycetaceae	126	family	5733343	54	0	0.0
Isosphaera	127	genus	5529304	9	0	0.0
Isosphaera pallida	128	species	5529304	6	0	0.0
Methylocystis	133	genus	0	252	0	0.0
Methylocystis parvus	134	species	4529043	1369	815	0.0
Spirochaetales	136	order	1876294	70	0	0.0
Spirochaetaceae	137	family	2749897	26	0	0.0
Borrelia	138	genus	1176628	27	0	0.0
Borreliella burgdorferi	139	species	1329613	27	9	0.0
Borrelia turicatae	142	species	1165365	13	0	0.0
Spirochaeta	146	genus	2772907	11	0	0.0
Spirochaeta thermophila	154	species	2516433	5	0	0.0
Treponema	157	genus	2490077	9	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	65	0	0.0
Treponema pallidum	160	species	1139017	1	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	12	0	0.0
Treponema phagedenis	162	species	17151030	77	20	0.0
Leptospiraceae	170	family	5274184	5	0	0.0
Leptospira	171	genus	5319704	4	0	0.0
Leptospira biflexa	172	species	3953768	1	0	0.0
Leptospira interrogans	173	species	6128534	49	39	0.0
Leptospira borgpetersenii	174	species	4736323	17	5	0.0
Leptospirillum	179	genus	2432093	10	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	1	0	0.0
Aquaspirillum	187	genus	0	54	0	0.0
Azospirillum	191	genus	7223069	1335	44	0.0
Azospirillum brasilense	192	species	50779208	17468	2775	0
Azospirillum lipoferum	193	species	7223069	261	1	0.0
Campylobacter	194	genus	2403822	16	2	0.0
