name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	43	32	0.0
Azorhizobium	6	genus	5369772	11	0	0.0
Azorhizobium caulinodans	7	species	5369772	20	0	0.0
Buchnera aphidicola	9	species	602805	5	0	0.0
Cellvibrio	10	genus	4576573	2	0	0.0
Cellulomonas gilvus	11	species	3526441	26	0	0.0
Pelobacter	18	genus	3953506	6	0	0.0
Pelobacter carbinolicus	19	species	3665893	3	0	0.0
Phenylobacterium	20	genus	4379231	16	0	0.0
Shewanella	22	genus	5140018	9	2	0.0
Shewanella putrefaciens	24	species	4749735	57	6	0.0
Myxococcales	29	order	9638245	260	0	0.0
Myxococcaceae	31	family	9636120	20	0	0.0
Myxococcus	32	genus	9487953	72	0	0.0
Myxococcus xanthus	34	species	9139763	1287	209	0.0
Myxococcus macrosporus	35	species	8973512	604	158	0.0
Archangiaceae	39	family	10085598	50	0	0.0
Stigmatella	40	genus	10260756	2	0	0.0
Stigmatella aurantiaca	41	species	10260756	9	0	0.0
Cystobacter	42	genus	0	1	0	0.0
Cystobacter fuscus	43	species	12349744	857	477	0.0
Melittangium	44	genus	9910441	8	0	0.0
Archangium	47	genus	0	3	0	0.0
Archangium gephyra	48	species	12489432	804	450	0.0
Polyangiaceae	49	family	13907952	16	0	0.0
Chondromyces	50	genus	0	4	0	0.0
Chondromyces crocatus	52	species	11388132	689	446	0.0
Sorangium cellulosum	56	species	13907952	3807	1592	0.0
Vitreoscilla	59	genus	0	5	0	0.0
Vitreoscilla filiformis	63	species	3787551	209	124	0.0
Lysobacter	68	genus	0	109	1	0.0
Lysobacter enzymogenes	69	species	12227539	1067	509	0.0
Simonsiella muelleri	72	species	2469862	1	0	0.0
Caulobacter	75	genus	4238499	63	4	0.0
Hyphomicrobium	81	genus	3700497	22	0	0.0
Hyphomonas	85	genus	3705021	5	0	0.0
Leptothrix	88	genus	4909403	36	0	0.0
Stella	93	genus	0	13	0	0.0
Stella humosa	94	species	5832650	795	556	0.0
Ancylobacter	99	genus	0	7	0	0.0
Spirosoma	107	genus	0	4	1	0.0
Planctomycetales	112	order	5733343	23	0	0.0
Gemmata	113	genus	0	9	0	0.0
Gemmata obscuriglobus	114	species	17998094	911	483	0.0
Planctomyces	118	genus	0	3	0	0.0
Gimesia maris	122	species	15634937	104	28	0.0
Pirellula	123	genus	6196199	1	0	0.0
Planctomycetaceae	126	family	5733343	17	0	0.0
Isosphaera	127	genus	5529304	1	0	0.0
Isosphaera pallida	128	species	5529304	4	0	0.0
Methylocystis	133	genus	0	30	0	0.0
Methylocystis parvus	134	species	4529043	224	138	0.0
Spirochaetales	136	order	1876294	4	0	0.0
Spirochaetaceae	137	family	2749897	9	0	0.0
Borrelia	138	genus	1176628	2	0	0.0
Borreliella burgdorferi	139	species	1329613	8	0	0.0
Borrelia turicatae	142	species	1165365	1	0	0.0
Spirochaeta	146	genus	2772907	4	0	0.0
Spirochaeta thermophila	154	species	2516433	3	0	0.0
Treponema	157	genus	2490077	5	1	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	19	1	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	7	0	0.0
Treponema phagedenis	162	species	17151030	178	18	0.0
Leptospiraceae	170	family	5274184	1	0	0.0
Leptospira	171	genus	5319704	2	1	0.0
Leptospira interrogans	173	species	6128534	7	6	0.0
Leptospira borgpetersenii	174	species	4736323	8	2	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	1	0	0.0
Aquaspirillum	187	genus	0	3	0	0.0
Azospirillum	191	genus	7223069	169	11	0.0
Azospirillum brasilense	192	species	50779208	3354	532	0.0
Azospirillum lipoferum	193	species	7223069	28	0	0.0
Campylobacter	194	genus	2403822	2	0	0.0
Campylobacter coli	195	species	1776238	21	8	0.0
Campylobacter fetus	196	species	2065164	4	3	0.0
Campylobacter jejuni	197	species	3124996	21	6	0.0
Campylobacter hyointestinalis	198	species	1755214	6	0	0.0
Campylobacter concisus	199	species	2099413	31	21	0.0
Campylobacter curvus	200	species	1971270	37	0	0.0
Campylobacter lari	201	species	1565468	12	1	0.0
